"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"39306","US-Mexico Border","June 12, 2014","2014","Jun","1","","1","","1","","","Hyperthermia","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39307","US-Mexico Border","June 12, 2014","2014","Jun","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39308","US-Mexico Border","June 12, 2014","2014","Jun","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39309","US-Mexico Border","June 12, 2014","2014","Jun","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39305","US-Mexico Border","June 10, 2014","2014","Jun","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39304","US-Mexico Border","June 10, 2014","2014","Jun","1","","1","","","1","","Hyperthermia","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39410","Mediterranean","June 09, 2014","2014","Jun","3","2","5","0","","","","Drowning","Italian waters","The Guardian","36.493500000000, 13.667000000000","Central Mediterranean","http://bit.ly/1kal8el","Uncategorized","1"
"39303","US-Mexico Border","June 09, 2014","2014","Jun","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","31.903737173913, -112.550471914060","Central America to US","","Northern America","5"
"39302","US-Mexico Border","June 09, 2014","2014","Jun","1","","1","","","1","","Hyperthermia","Pima County","Pima County Office of the Medical Examiner","31.861757443882, -112.468074453120","Central America to US","","Northern America","5"
"39389","Mediterranean","June 08, 2014","2014","Jun","4","","4","","","","","Drowning","Italian waters","The Guardian","35.412500000000, 12.348600000000","Central Mediterranean","http://bit.ly/1qNxMp5","Uncategorized","1"
"39301","US-Mexico Border","June 06, 2014","2014","Jun","1","","1","","1","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","31.829093319579, -112.440608632810","Central America to US","","Northern America","5"
"39409","Mediterranean","June 05, 2014","2014","Jun","3","0","3","","","","","Unknown","Italian waters","Reuters","35.358000000000, 12.782600000000","Central Mediterranean","http://reut.rs/2bBvz2p","Uncategorized","1"
"39221","US-Mexico Border","June 03, 2014","2014","Jun","1","","1","","","1","","Hyperthermia","Pima County","Pima County Office of the Medical Examiner","31.684299008347, -111.753963125000","Central America to US","","Northern America","5"
"39300","US-Mexico Border","June 01, 2014","2014","Jun","1","","1","","","1","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","31.858258269558, -112.602656972660","Central America to US","","Northern America","5"
"39240","Horn of Africa","May 31, 2014","2014","May","62","0","62","0","","","","Drowning","Gulf of Aden ","New Vision","12.533100000000, 47.922400000000","","http://bit.ly/1vs8jBB","Uncategorized","1"
"39298","US-Mexico Border","May 30, 2014","2014","May","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","31.777740621658, -112.078059804690","Central America to US","","Northern America","5"
"39299","US-Mexico Border","May 30, 2014","2014","May","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","31.674949665927, -111.907771718750","Central America to US","","Northern America","5"
"39220","US-Mexico Border","May 28, 2014","2014","May","1","","1","","","1","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39297","US-Mexico Border","May 27, 2014","2014","May","1","","1","","","1","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39374","Mediterranean","May 23, 2014","2014","May","1","0","1","","","1","1","Asphyxiation","Greece","Neos Kosmos","39.506100000000, 20.265500000000","Central Mediterranean","http://bit.ly/TzKj34","Uncategorized","1"
"39369","Europe","May 23, 2014","2014","May","1","0","1","0","","1","","Fall from truck","Calais","Calais Migrant Solidarity","50.951300000000, 1.858690000000","Calais to United Kingdom","http://bit.ly/1DpK8rz","Western Europe","4"
"39296","US-Mexico Border","May 22, 2014","2014","May","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39295","US-Mexico Border","May 21, 2014","2014","May","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39219","US-Mexico Border","May 13, 2014","2014","May","1","","1","","","1","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39388","Mediterranean","May 12, 2014","2014","May","17","200","217","226","12","2","3","Drowning","International waters between Libya and Italy","ANSA Med, Relief Web, New York Times, UNHCR","34.708600000000, 15.666500000000","Central Mediterranean","http://bit.ly/1mh7JHc, http://nyti.ms/2ANMpDY, http://www.unhcr.org/5371f0086.html","Uncategorized","3"
