"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"42888","Middle East","February 27, 2016","2016","Feb","1","","1","","","1","","Sickness and lack of access to medicines","Syrian/Turkish border near Qamishli, Al Hasaka, Syria","Action Group for Palestinians of Syria","36.504474100000, 40.708528000000","","http://www.actionpal.org.uk/","Western Asia","4"
"42418","US-Mexico Border","February 25, 2016","2016","Feb","1","","1","","","1","","Drowning","Mexican side of Rio Grande (Tamaulipas) near Juez de Paz, Rio Grande, Texas","Via Libre","26.327786500000, -98.724003800000","Central America to US","http://bit.ly/1QG2T4a","Central America","1"
"42919","US-Mexico Border","February 23, 2016","2016","Feb","1","","1","","","1","","Unknown (skeletal remains)","Pima County Jurisdiction","Pima County Office of the Medical Examiner","31.965203600000, -113.011894500000","Central America to US","http://www.humaneborders.info/app/map.asp","Northern America","5"
"42947","Mediterranean","February 23, 2016","2016","Feb","5","","5","403","3","2","","Asphyxiation","Unspecified location between Tunisia and Sicily","IOM Italy, Reuters","37.720242300000, 10.285804200000","Central Mediterranean","http://reut.rs/1QxlcEs","Uncategorized","4"
"42437","US-Mexico Border","February 21, 2016","2016","Feb","1","","1","","","1","","Unknown","On Mexican side of US-Mexico border near San Ysidro, California, Mexico","CBS8","32.534930300000, -117.041313800000","Central America to US","http://bit.ly/20PLBTC","Central America","1"
"43118","North Africa","February 21, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","Sahara Desert near Aswan, Egypt","Mixed Migration Monitoring Mechanism Initiative (4Mi)","21.906769500000, 30.822252900000","","","Northern Africa","2"
"43119","North Africa","February 21, 2016","2016","Feb","13","","13","","","","","Sickness and lack of access to medicines","Kurfrah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.248841300000, 19.724216100000","","","Northern Africa","2"
"43120","North Africa","February 21, 2016","2016","Feb","3","","3","","","","","Sickness and lack of access to medicines","Qadarif, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","14.031672200000, 35.341772300000","","","Northern Africa","2"
"43121","North Africa","February 21, 2016","2016","Feb","3","","3","","","","","Sickness and lack of access to medicines","Kurfrah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.248841300000, 19.724216100000","","","Northern Africa","2"
"43122","North Africa","February 21, 2016","2016","Feb","6","","6","","","","","Sickness and lack of access to medicines","Kurfrah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.248841300000, 19.724216100000","","","Northern Africa","2"
"43123","North Africa","February 21, 2016","2016","Feb","1","","1","","","","","Suffocation","Khartoum, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","15.501534100000, 32.502556100000","","","Northern Africa","2"
"43124","North Africa","February 21, 2016","2016","Feb","10","","10","","","","","Sickness and lack of access to medicines","Qadarif, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","14.031672200000, 35.341772300000","","","Northern Africa","2"
