"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"45722","Central America","May 27, 2018","2018","May","1","","1","","","1","","Fall from train","Train tracks near Éjido Emigdio Ruiz, El Carrizo, Sinaloa, Mexico","Luz Noticias, Debate","26.375668161573, -109.010262694780","","https://bit.ly/2udghrw, https://bit.ly/2JfBF40","Central America","3"
"44884","Middle East","May 27, 2018","2018","May","1","","1","","","1","","Shot","Syria-Turkey border, Idlib Governorate, Syria","Syrian Observatory for Human Rights","35.988829257152, 36.323174184375","","http://www.syriahr.com/en/?p=93568","Western Asia","4"
"44824","North Africa","May 26, 2018","2018","May","1","","1","","","1","","Sickness and lack of access to medicines","Forest near the Melilla border fence, Nador, Morocco","Association Les Ponts Solidaires Maroc, Association Marocaine des Droits Humaines Section Nador","35.254030354063, -2.958482647852","","https://bit.ly/2L3covd, https://bit.ly/2xj4uvE","Northern Africa","1"
"44822","Mediterranean","May 26, 2018","2018","May","1","","1","","","1","","Sickness and lack of access to medicines","Died after being rescued by a Guardia Costiera vessel off the coast of Libya","IOM Italy, UNHCR Italy","34.310004799433, 13.902308756250","Central Mediterranean","https://bit.ly/2INc7Qa, https://bit.ly/2LCxIJ9","Uncategorized","4"
"44823","US-Mexico Border","May 26, 2018","2018","May","1","","1","","","1","","Drowning","Río Bravo, Éjido el Porvenir, near International Bridge Reynosa-Hidalgo, Reynosa, Tamaulipas, Mexico","El Mañana","26.095201713489, -98.272057286647","","https://bit.ly/2IPqSlv","Central America","1"
"44831","Sub-Saharan Africa","May 26, 2018","2018","May","2","","2","80","","","","Dehydration","Sahara desert, 382km north of Agadez, Niger","IOM Niger","19.871463863634, 8.294152187500","","https://bit.ly/2xso5tt","Western Africa","4"
"44883","Middle East","May 26, 2018","2018","May","1","","1","","","","","Shot","Syria-Turkey border, Idlib Governorate, Syria","Syrian Observatory for Human Rights","36.003290544157, 36.378105825000","","http://www.syriahr.com/en/?p=93440","Western Asia","4"
"44825","Central America","May 26, 2018","2018","May","1","","1","","","1","","Fall from train","Train tracks near Calle Altamirano, Tierra Blanca El Viejo, Veracruz, Mexico","Debate","18.441354312778, -96.356776331769","","https://bit.ly/2IRSLtp","Central America","1"
"44860","US-Mexico Border","May 25, 2018","2018","May","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.033764900000, -112.913721700000","","http://humaneborders.info/","Northern America","5"
"44830","Mediterranean","May 25, 2018","2018","May","","5","5","400","","4","2","Presumed drowning","Unspecified location off the coast of Libya","Sea-Watch","33.832333519831, 13.674736737500","Central Mediterranean","https://bit.ly/2seTQkA","Uncategorized","4"
"44900","Middle East","May 25, 2018","2018","May","1","","1","","","1","","Drowning","Evros/Meriç river, near Uzunköprü, Edirne, Turkey","IOM Turkey, Hurriyet","41.323997508690, 26.591170982259","","https://bit.ly/2Miubjx","Western Asia","4"
